ANO;SOROLOGIAS REALIZADAS;CÃES SOROPOSITIVOS;CÃES EUTANASIADOS;IMÓVEIS BORRIFADOS
2007;155.643;14.476;10.738;104.241
2008;163.089;12.482;10.285;76.439
2009;153.519;10.472;9.873;79.716
2010;197.232;15.494;11.541;66.801
2011;171.937;9.722;8.122;87.908
2012;202.896;6.434;5.573;80.282
2013;113.997;4.862;4.128;74.455
2014;44.536;6.198;5.075;54.436
2015;20.659;3.807;3.387;56.475
2016;22.965;5.529;4.202;5.617
2017;33.029;6.539;4.511;19.538
2018;31.330;6.591;5.582;26.388
2019;27.983;6.165;4.764;14.855
2020;28.954;5.624;4.438;73.593
2021;17.044;3.539;3.028;78.279
2022;23.490;4.077;2.567;64.967
2023;43.571;5.440;3.388;51.591
2024;49.927;4.459;2.725;30.953
TOTAL;1.501.801;131.910;103.927;1.046.534
