ANO;SOROLOGIAS REALIZADAS;CÃES SOROPOSITIVOS;CÃES EUTANASIADOS
1994;13.869;554;
1995;122.291;3.965;
1996;108.022;4.691;3.617
1997;142.286;4.531;4.332
1998;54.980;2.426;1.419
1999;105.636;4.042;2.836
2000;106.894;3.316;3.150
2001;84.512;4.325;4.096
2002;161.918;9.095;6.415
2003;118.403;10.605;7.577
2004;82.181;6.119;5.652
2005;149.470;11.901;9.197
2006;83.866;8.268;8.014
2007;155.643;14.476;10.738
2008;163.089;12.482;10.285
2009;153.519;10.472;9.873
2010;197.232;15.494;11.541
2011;171.937;9.722;8.122
2012;202.896;6.434;5.573
2013;113.997;4.862;4.128
2014;44.536;6.198;5.075
2015;20.659;3.807;3.387
2016;22.965;5.529;4.202
2017;33.029;6.539;4.511
2018;31.330;6.591;5.582
2019;27.983;6.165;4.764
2020;28.954;5.624;4.438
2021;17.044;3.539;3.028
2022;23.490;4.077;2.567
2023;43.571;5.440;3.388
2024;49.927;4.459;2.725
2025;50.723;4.090;2.445
