ANO;IMÓVEIS BORRIFADOS;;
1994;4.302;;
1995;46.743;;
1996;46.604;;
1997;22.525;;
1998;12.443;;
1999;46.129;;
2000;61.355;;
2001;53.336;;
2002;122.824;;
2003;125.823;;
2004;145.266;;
2005;160.671;;
2006;146.917;;
2007;104.241;;
2008;76.439;;
2009;79.716;;
2010;66.801;;
2011;87.908;;
2012;80.282;;
2013;74.455;;
2014;54.436;;
2015;56.475;;
2016;5.617;;
2017;19.538;;
2018;26.388;;
2019;14.855;;
2020;73.593;;
2021;78.279;;
2022;64.967;;
2023;51.591;;
2024;30.953;;
2025;30.470;;
